id,first_name,last_name,email,gender,time,amount,match,memory
1,Angiez,Gallelli,agallelli0@earthlink.net,Female,1667164959000,$440.24,61,118.7
2,Arabella,Fleote,afleote1@answers.com,Female,1667506667000,$257.41,42,121.6
3,Maximilianuz,Gilford,mgilford2@chicagotribune.com,Male,1667244296000,$448.70,100,154.0
4,Gunter,Willerson,gwillerson3@nba.com,Male,1667391808000,$374.03,33,188.5
5,Hortz,Phinn,hphinn4@dell.com,Male,1667391675000,$359.32,12,116.0
6,Abby,Benedito,abenedito5@springer.com,Female,1667474811000,$251.93,83,117.5
7,Domenigaz,Cumesky,dcumesky6@soup.io,Female,1667427487000,$361.26,3,143.2
8,Myrtie,McDowall,mmcdowall7@google.pl,Female,1667356821000,$422.39,65,146.6
9,Norby,Judge,njudge8@wikipedia.org,Male,1667299469000,$183.34,65,153.1
10,Odella,Wycliffe,owycliffe9@mapquest.com,Female,1666934905000,$85.73,39,154.5
11,Alexander,Culter,acultera@histats.com,Male,1667285237000,$479.86,79,135.4
12,Skylar,Marjanovic,smarjanovicb@4shared.com,Male,1667174330000,$124.49,77,127.4
13,Inger,Searles,isearlesc@census.gov,Male,1667630918000,$390.33,76,194.1
14,Nero,Timblett,ntimblettd@unblog.fr,Male,1667641302000,$229.33,34,121.2
15,Carlie,Mahoney,cmahoneye@npr.org,Male,1667099904000,$151.57,46,195.3
16,Johnnie,Peinton,jpeintonf@uiuc.edu,Male,1666936331000,$4.77,37,115.1
17,Bambi,Slemmonds,bslemmondsg@admin.ch,Female,1667210538000,$107.47,3,195.6
18,Chase,Beste,cbesteh@shinystat.com,Male,1667341534000,$322.23,39,155.0
19,Kathlin,Cranmer,kcranmeri@cbslocal.com,Female,1667229996000,$433.96,94,147.8
20,Simon,Shallow,sshallowj@tiny.cc,Male,1667268031000,$214.64,81,111.8
21,Ardella,Opy,aopyk@a8.net,Female,1667456379000,$333.22,59,145.5
22,Virgil,Novello,vnovellol@eventbrite.com,Male,1667000572000,$231.27,10,166.7
23,Benedicto,MacKey,bmackeym@github.io,Male,1667592782000,$380.32,41,179.6
24,Isahella,Wheildon,iwheildonn@nymag.com,Female,1667285730000,$85.16,57,132.0
25,Adi,Wigzell,awigzello@liveinternet.ru,Female,1667109138000,$19.61,26,120.5
26,Kacey,Hensmans,khensmansp@usatoday.com,Female,1667380864000,$149.99,1,173.6
27,Marlyn,Rapper,mrapperq@va.gov,Female,1667579749000,$190.26,15,174.2
28,Griffin,Abrahamsson,gabrahamssonr@nba.com,Male,1666929581000,$255.17,60,137.1
29,Ferrell,Dagnan,fdagnans@ucoz.com,Male,1667013152000,$232.49,51,109.0
30,Sunshine,Seville,ssevillet@nih.gov,Female,1667364905000,$232.34,17,150.7
31,Grange,Gritsaev,ggritsaevu@wix.com,Male,1667207864000,$102.36,45,166.6
32,Fabien,Branchet,fbranchetv@amazonaws.com,Male,1667675974000,$101.94,68,160.6
33,Marlon,Very,mveryw@w3.org,Male,1667126259000,$433.66,43,140.4
34,Josi,Chippendale,jchippendalex@photobucket.com,Female,1667330374000,$136.11,10,146.8
35,Nerissa,Tipple,ntippley@springer.com,Female,1667688964000,$139.87,17,159.9
36,Vitoria,Caygill,vcaygillz@un.org,Genderfluid,1667666504000,$492.55,42,146.2
37,Falito,Hancox,fhancox10@friendfeed.com,Male,1667473977000,$162.71,31,176.1
38,Esma,Bjerkan,ebjerkan11@mit.edu,Female,1667020769000,$489.69,75,130.6
39,Demetri,Leathem,dleathem12@pen.io,Male,1667117388000,$373.65,46,127.1
40,Rozalie,Grigolli,rgrigolli13@mac.com,Female,1666955886000,$299.61,85,102.7
41,Ignatius,Bonifas,ibonifas14@wp.com,Male,1667557693000,$461.00,89,166.0
42,Norean,Roony,nroony15@eventbrite.com,Female,1667261783000,$175.94,70,168.5
43,Estele,Osbourn,eosbourn16@about.me,Female,1667612828000,$148.74,48,133.7
44,Cheryl,Stoakes,cstoakes17@sohu.com,Female,1667262134000,$405.98,7,159.4
45,May,Stollberger,mstollberger18@trellian.com,Female,1667396442000,$110.52,25,110.9
46,Garret,Kincey,gkincey19@mac.com,Male,1667634524000,$353.00,41,144.8
47,Felic,Wheatley,fwheatley1a@state.tx.us,Male,1667204707000,$415.39,27,159.5
48,Rea,Battill,rbattill1b@jugem.jp,Female,1667017213000,$243.25,78,113.6
49,Ewan,Whitney,ewhitney1c@europa.eu,Male,1667570446000,$347.80,33,131.6
